breed,weight_kg,age_yr,activity,neutered,allergies,symptoms,conditions,kcal,pct_protein,pct_fat,pct_carb,meal_name,ingredients
great dane,35,9,low,1,wheat,soft stool,arthritis,1341,37,20,43,Chicken & Sweet Potato,"salmon, zucchini, dairy"
beagle,34,4,high,0,chicken,dry skin,heart disease,1877,34,27,39,Paneer & Veg Mix,"carrot, beans, rice"
rottweiler,52,12,medium,0,dairy,itchy paws,heart disease,1677,25,39,36,Tofu & Veggie Stew,"quinoa, turkey, beef"
beagle,22,10,low,0,wheat,soft stool,heart disease,2449,26,35,39,Beef & Barley,"oats, tofu, chicken"
dachshund,59,11,medium,1,none,none,obesity,1724,36,32,32,Salmon & Brown Rice,"beef, chicken, quinoa"
poodle,21,10,high,0,wheat,none,heart disease,1377,25,37,38,Chicken & Sweet Potato,"oats, rice, dairy"
beagle,42,14,high,1,fish,diarrhea,diabetes,1638,27,39,34,Chicken & Sweet Potato,"barley, lentils, quinoa"
dachshund,18,9,high,0,none,diarrhea,diabetes,2194,31,29,40,Egg & Pumpkin Mix,"quinoa, potato, dairy"
labrador retriever,27,4,low,0,dairy,soft stool,allergies,2077,33,31,36,Mackerel & Quinoa,"beef, quinoa, oats"
boxer,29,10,low,0,wheat,itchy paws,none,1258,31,20,49,Paneer & Veg Mix,"mackerel, zucchini, rice"
beagle,19,10,high,0,beef,soft stool,heart disease,1591,29,29,42,Tofu & Veggie Stew,"chicken, salmon, beef"
labrador retriever,50,10,low,1,dairy,itchy paws,heart disease,1968,39,28,33,Tofu & Veggie Stew,"beef, barley, chicken"
german shepherd,26,9,high,0,wheat,itchy paws,arthritis,944,34,22,44,Turkey & Rice Bowl,"carrot, pumpkin, turkey"
doberman,7,11,low,1,fish,none,obesity,1849,26,38,36,Mackerel & Quinoa,"pumpkin, spinach, lentils"
yorkshire terrier,59,7,high,1,chicken,none,none,2369,28,28,44,Chicken & Sweet Potato,"lamb, egg, beans"
rottweiler,23,2,medium,0,chicken,none,allergies,1207,29,29,42,Duck & Lentils,"carrot, lamb, rice"
german shepherd,48,9,high,0,beef,dry skin,none,1101,29,38,33,Egg & Pumpkin Mix,"peas, potato, quinoa"
german shepherd,38,4,high,1,dairy,none,heart disease,2146,35,35,30,Beef & Barley,"potato, carrot, egg"
dachshund,39,8,low,1,fish,vomiting,arthritis,2403,26,37,37,Egg & Pumpkin Mix,"egg, barley, peas"
great dane,54,14,low,0,wheat,diarrhea,obesity,1882,24,33,43,Chicken & Sweet Potato,"salmon, oats, beans"
great dane,5,7,low,0,wheat,diarrhea,allergies,644,22,22,56,Turkey & Rice Bowl,"egg, salmon, peas"
poodle,56,13,low,0,chicken,itchy paws,none,774,37,21,42,Salmon & Brown Rice,"beef, beans, lentils"
bulldog,25,7,low,0,fish,diarrhea,allergies,1008,30,20,50,Tofu & Veggie Stew,"spinach, potato, lentils"
boxer,33,8,low,0,none,waxy ears,heart disease,1702,34,37,29,Beef & Barley,"zucchini, potato, barley"
poodle,10,1,medium,1,beef,itchy paws,allergies,1252,39,28,33,Mackerel & Quinoa,"chicken, tofu, dairy"
dachshund,41,5,high,0,chicken,diarrhea,arthritis,2361,24,32,44,Chicken & Sweet Potato,"potato, beef, spinach"
siberian husky,5,2,high,0,chicken,waxy ears,allergies,2354,31,21,48,Paneer & Veg Mix,"beans, tofu, rice"
rottweiler,55,2,high,1,beef,dry skin,diabetes,976,23,26,51,Duck & Lentils,"lentils, zucchini, quinoa"
pomeranian,5,1,medium,0,dairy,diarrhea,arthritis,2366,34,35,31,Egg & Pumpkin Mix,"beef, potato, quinoa"
boxer,31,5,high,0,wheat,waxy ears,none,2499,28,38,34,Turkey & Rice Bowl,"peas, barley, zucchini"
boxer,25,2,medium,1,dairy,soft stool,obesity,1937,26,34,40,Salmon & Brown Rice,"peas, beans, barley"
shih tzu,57,4,medium,0,fish,vomiting,obesity,1676,29,30,41,Lamb & Oats,"barley, rice, lamb"
dachshund,20,3,medium,1,none,soft stool,heart disease,1627,32,20,48,Duck & Lentils,"dairy, beans, pumpkin"
golden retriever,48,3,high,0,soy,waxy ears,heart disease,1598,27,26,47,Chicken & Sweet Potato,"zucchini, pumpkin, lentils"
german shepherd,58,2,medium,0,soy,itchy paws,diabetes,1651,31,39,30,Salmon & Brown Rice,"turkey, salmon, mackerel"
doberman,44,13,high,0,soy,none,none,2234,38,27,35,Duck & Lentils,"spinach, zucchini, lamb"
yorkshire terrier,30,6,high,1,beef,none,obesity,1165,20,29,51,Duck & Lentils,"rice, mackerel, potato"
golden retriever,20,2,low,1,chicken,none,obesity,1067,35,24,41,Tofu & Veggie Stew,"carrot, barley, rice"
great dane,32,14,low,1,none,itchy paws,obesity,2313,36,28,36,Duck & Lentils,"carrot, zucchini, dairy"
dachshund,5,14,medium,1,dairy,diarrhea,obesity,1868,37,20,43,Paneer & Veg Mix,"beef, dairy, egg"
pomeranian,40,8,medium,0,wheat,none,allergies,1030,30,21,49,Salmon & Brown Rice,"salmon, rice, chicken"
pomeranian,14,8,high,1,soy,soft stool,none,658,37,38,25,Chicken & Sweet Potato,"peas, spinach, oats"
golden retriever,47,13,medium,1,dairy,itchy paws,arthritis,2061,26,33,41,Chicken & Sweet Potato,"zucchini, pumpkin, turkey"
pomeranian,21,14,medium,1,soy,itchy paws,arthritis,1949,37,39,24,Paneer & Veg Mix,"potato, quinoa, beef"
yorkshire terrier,27,12,high,0,none,none,diabetes,1180,27,29,44,Mackerel & Quinoa,"turkey, pumpkin, oats"
dachshund,11,5,medium,0,soy,soft stool,allergies,522,25,28,47,Salmon & Brown Rice,"beans, potato, egg"
great dane,48,10,medium,1,wheat,dry skin,obesity,1570,26,29,45,Duck & Lentils,"barley, chicken, tofu"
dachshund,57,7,high,1,fish,itchy paws,obesity,1024,29,25,46,Turkey & Rice Bowl,"oats, peas, turkey"
boxer,11,4,high,0,fish,none,heart disease,1228,30,36,34,Beef & Barley,"chicken, beef, potato"
golden retriever,48,1,low,1,none,vomiting,heart disease,2357,32,25,43,Salmon & Brown Rice,"egg, potato, turkey"
labrador retriever,19,11,high,1,fish,waxy ears,diabetes,2229,28,23,49,Lamb & Oats,"rice, salmon, oats"
pomeranian,38,2,low,1,beef,diarrhea,obesity,643,26,39,35,Turkey & Rice Bowl,"tofu, peas, spinach"
beagle,50,10,medium,1,chicken,itchy paws,diabetes,2108,28,22,50,Paneer & Veg Mix,"salmon, beef, rice"
dachshund,49,10,high,0,beef,vomiting,allergies,1167,32,38,30,Duck & Lentils,"salmon, carrot, spinach"
golden retriever,8,4,high,0,dairy,vomiting,arthritis,2112,22,37,41,Mackerel & Quinoa,"pumpkin, barley, lamb"
bulldog,18,1,high,0,beef,itchy paws,obesity,1942,22,23,55,Lamb & Oats,"potato, carrot, tofu"
rottweiler,18,13,medium,1,dairy,dry skin,none,1180,20,27,53,Mackerel & Quinoa,"mackerel, lentils, tofu"
bulldog,20,8,low,1,dairy,waxy ears,allergies,1472,39,36,25,Mackerel & Quinoa,"barley, oats, lentils"
golden retriever,11,9,medium,0,chicken,diarrhea,obesity,1298,21,24,55,Egg & Pumpkin Mix,"mackerel, lentils, quinoa"
pomeranian,36,4,medium,0,wheat,itchy paws,none,584,22,32,46,Tofu & Veggie Stew,"turkey, beans, dairy"
german shepherd,23,10,high,0,none,diarrhea,heart disease,915,34,20,46,Lamb & Oats,"barley, dairy, lentils"
pomeranian,6,3,low,1,chicken,soft stool,diabetes,1193,25,32,43,Beef & Barley,"barley, tofu, quinoa"
german shepherd,14,2,medium,0,none,vomiting,heart disease,981,32,23,45,Tofu & Veggie Stew,"egg, peas, pumpkin"
great dane,54,5,high,1,fish,vomiting,arthritis,955,20,33,47,Lamb & Oats,"pumpkin, turkey, beans"
great dane,21,14,medium,1,fish,itchy paws,heart disease,1326,39,22,39,Mackerel & Quinoa,"potato, peas, lentils"
golden retriever,41,3,medium,0,beef,itchy paws,obesity,796,38,24,38,Tofu & Veggie Stew,"peas, pumpkin, oats"
boxer,16,10,high,0,dairy,soft stool,none,1635,20,26,54,Lamb & Oats,"egg, lentils, peas"
great dane,10,7,high,1,soy,dry skin,heart disease,2485,21,20,59,Beef & Barley,"tofu, quinoa, lamb"
boxer,26,11,low,0,soy,itchy paws,obesity,1753,34,31,35,Turkey & Rice Bowl,"quinoa, beans, tofu"
great dane,36,6,medium,0,none,vomiting,arthritis,1619,33,30,37,Salmon & Brown Rice,"carrot, peas, mackerel"
pomeranian,45,1,high,1,dairy,diarrhea,none,1449,38,27,35,Duck & Lentils,"carrot, barley, turkey"
dachshund,24,12,high,1,none,waxy ears,heart disease,1179,30,25,45,Lamb & Oats,"potato, lentils, oats"
yorkshire terrier,5,8,low,1,chicken,none,diabetes,877,34,21,45,Beef & Barley,"turkey, beef, potato"
beagle,58,2,low,1,wheat,diarrhea,diabetes,1679,25,38,37,Salmon & Brown Rice,"egg, chicken, lamb"
pomeranian,51,5,high,1,chicken,dry skin,none,920,39,39,22,Tofu & Veggie Stew,"potato, egg, beans"
shih tzu,57,9,low,0,dairy,waxy ears,diabetes,604,28,39,33,Lamb & Oats,"carrot, potato, dairy"
dachshund,10,8,high,1,dairy,diarrhea,heart disease,2228,24,33,43,Lamb & Oats,"pumpkin, zucchini, potato"
shih tzu,23,2,medium,1,wheat,diarrhea,heart disease,829,39,20,41,Paneer & Veg Mix,"potato, quinoa, salmon"
bulldog,22,9,low,1,none,soft stool,none,938,21,29,50,Lamb & Oats,"beans, quinoa, mackerel"
siberian husky,10,5,medium,0,beef,none,heart disease,1655,25,35,40,Duck & Lentils,"rice, beans, tofu"
beagle,49,10,medium,1,beef,dry skin,obesity,2390,37,23,40,Paneer & Veg Mix,"carrot, beef, spinach"
bulldog,37,14,medium,1,wheat,vomiting,arthritis,881,38,30,32,Salmon & Brown Rice,"barley, beef, beans"
great dane,27,6,high,1,beef,soft stool,diabetes,637,28,35,37,Tofu & Veggie Stew,"egg, pumpkin, potato"
boxer,27,13,medium,0,soy,waxy ears,obesity,1442,25,39,36,Tofu & Veggie Stew,"dairy, salmon, zucchini"
great dane,30,3,medium,1,beef,none,none,1342,33,20,47,Chicken & Sweet Potato,"zucchini, beans, tofu"
golden retriever,17,13,medium,1,beef,vomiting,diabetes,769,32,35,33,Chicken & Sweet Potato,"lamb, quinoa, pumpkin"
yorkshire terrier,11,3,high,1,beef,soft stool,obesity,2073,30,38,32,Salmon & Brown Rice,"zucchini, lentils, tofu"
great dane,19,10,medium,0,soy,none,heart disease,895,31,28,41,Egg & Pumpkin Mix,"potato, barley, beef"
doberman,48,8,medium,0,none,dry skin,none,2080,38,28,34,Beef & Barley,"quinoa, lamb, barley"
bulldog,31,11,low,0,beef,itchy paws,none,1412,38,28,34,Egg & Pumpkin Mix,"lamb, dairy, mackerel"
boxer,30,10,high,0,fish,itchy paws,diabetes,963,38,36,26,Beef & Barley,"beef, spinach, rice"
doberman,37,10,medium,1,soy,waxy ears,heart disease,2198,32,31,37,Paneer & Veg Mix,"turkey, oats, peas"
yorkshire terrier,19,12,low,1,wheat,itchy paws,diabetes,949,33,32,35,Salmon & Brown Rice,"mackerel, egg, lentils"
dachshund,40,2,high,0,chicken,soft stool,allergies,1854,37,27,36,Beef & Barley,"lentils, rice, mackerel"
golden retriever,49,11,high,0,wheat,waxy ears,obesity,1776,31,35,34,Chicken & Sweet Potato,"salmon, lamb, dairy"
rottweiler,59,12,high,1,chicken,vomiting,allergies,2204,23,37,40,Chicken & Sweet Potato,"turkey, beef, potato"
german shepherd,31,12,high,1,wheat,dry skin,obesity,2486,29,20,51,Mackerel & Quinoa,"mackerel, chicken, tofu"
poodle,9,2,high,0,fish,waxy ears,arthritis,1808,36,20,44,Beef & Barley,"quinoa, carrot, pumpkin"
yorkshire terrier,6,13,high,0,chicken,vomiting,none,1797,23,31,46,Salmon & Brown Rice,"mackerel, quinoa, lamb"
doberman,59,5,medium,0,chicken,waxy ears,diabetes,519,31,25,44,Turkey & Rice Bowl,"beef, spinach, mackerel"
rottweiler,37,6,medium,0,dairy,diarrhea,arthritis,738,32,28,40,Paneer & Veg Mix,"barley, oats, carrot"
rottweiler,20,12,medium,1,chicken,diarrhea,arthritis,1793,23,24,53,Lamb & Oats,"tofu, chicken, salmon"
yorkshire terrier,27,2,medium,0,chicken,waxy ears,none,917,29,35,36,Lamb & Oats,"peas, beans, lentils"
rottweiler,42,5,low,0,dairy,none,none,2468,22,37,41,Beef & Barley,"pumpkin, barley, oats"
bulldog,59,7,medium,1,beef,itchy paws,obesity,1833,34,36,30,Egg & Pumpkin Mix,"beef, salmon, spinach"
rottweiler,20,10,high,1,beef,diarrhea,allergies,1554,21,37,42,Paneer & Veg Mix,"beef, quinoa, egg"
great dane,18,10,medium,1,dairy,none,heart disease,2349,36,20,44,Tofu & Veggie Stew,"dairy, barley, potato"
shih tzu,33,8,medium,1,soy,none,obesity,1627,25,38,37,Duck & Lentils,"oats, zucchini, rice"
boxer,30,12,high,1,chicken,dry skin,heart disease,2205,27,27,46,Lamb & Oats,"tofu, lamb, chicken"
beagle,39,7,medium,0,chicken,vomiting,arthritis,685,22,22,56,Chicken & Sweet Potato,"beef, barley, carrot"
bulldog,19,8,medium,0,dairy,soft stool,heart disease,1651,37,24,39,Paneer & Veg Mix,"zucchini, quinoa, lamb"
rottweiler,7,14,medium,0,dairy,diarrhea,allergies,1733,20,27,53,Egg & Pumpkin Mix,"lamb, carrot, potato"
pomeranian,27,12,low,1,soy,waxy ears,obesity,1937,35,38,27,Salmon & Brown Rice,"spinach, potato, lentils"
dachshund,33,9,medium,0,fish,itchy paws,none,1804,26,37,37,Egg & Pumpkin Mix,"zucchini, quinoa, dairy"
pomeranian,38,5,high,1,beef,soft stool,allergies,2482,22,37,41,Paneer & Veg Mix,"dairy, carrot, barley"
german shepherd,37,13,high,0,wheat,vomiting,allergies,752,23,20,57,Tofu & Veggie Stew,"carrot, dairy, mackerel"
golden retriever,45,5,medium,0,fish,none,obesity,518,28,34,38,Lamb & Oats,"chicken, quinoa, spinach"
doberman,45,11,medium,1,none,vomiting,none,1211,24,37,39,Chicken & Sweet Potato,"tofu, dairy, mackerel"
rottweiler,27,10,medium,1,beef,diarrhea,allergies,2255,38,26,36,Turkey & Rice Bowl,"tofu, mackerel, zucchini"
labrador retriever,11,4,high,0,chicken,vomiting,none,1659,34,35,31,Salmon & Brown Rice,"lamb, pumpkin, quinoa"
great dane,7,13,high,0,none,vomiting,diabetes,722,27,35,38,Chicken & Sweet Potato,"potato, barley, mackerel"
german shepherd,36,9,low,0,fish,itchy paws,diabetes,502,25,34,41,Tofu & Veggie Stew,"potato, beef, dairy"
dachshund,35,5,low,0,dairy,none,diabetes,2486,37,25,38,Duck & Lentils,"chicken, turkey, beef"
great dane,22,14,low,0,soy,itchy paws,heart disease,1759,38,28,34,Tofu & Veggie Stew,"egg, chicken, mackerel"
boxer,47,2,high,1,beef,itchy paws,allergies,1353,34,26,40,Tofu & Veggie Stew,"turkey, lentils, peas"
rottweiler,11,10,low,1,soy,waxy ears,obesity,1988,26,33,41,Lamb & Oats,"beans, pumpkin, mackerel"
doberman,45,8,medium,1,none,vomiting,obesity,727,29,30,41,Paneer & Veg Mix,"chicken, tofu, barley"
boxer,5,7,medium,1,beef,vomiting,heart disease,1412,25,35,40,Paneer & Veg Mix,"dairy, pumpkin, egg"
rottweiler,18,8,high,0,fish,vomiting,obesity,2177,33,25,42,Chicken & Sweet Potato,"potato, rice, tofu"
poodle,56,12,low,0,chicken,dry skin,diabetes,998,36,35,29,Duck & Lentils,"oats, dairy, spinach"
beagle,36,3,medium,1,wheat,itchy paws,allergies,1020,28,39,33,Duck & Lentils,"lamb, potato, rice"
boxer,10,4,high,0,soy,soft stool,obesity,1201,38,35,27,Egg & Pumpkin Mix,"tofu, dairy, egg"
beagle,43,5,low,1,soy,diarrhea,obesity,2385,24,31,45,Turkey & Rice Bowl,"lentils, beef, turkey"
german shepherd,14,6,medium,0,wheat,none,arthritis,1416,26,36,38,Tofu & Veggie Stew,"tofu, salmon, dairy"
siberian husky,11,1,low,0,soy,soft stool,arthritis,2495,38,24,38,Turkey & Rice Bowl,"salmon, pumpkin, potato"
poodle,30,4,high,0,soy,none,arthritis,2200,39,32,29,Mackerel & Quinoa,"tofu, quinoa, zucchini"
golden retriever,38,11,low,1,beef,waxy ears,allergies,1662,26,27,47,Beef & Barley,"chicken, carrot, turkey"
bulldog,34,12,high,1,beef,waxy ears,diabetes,1799,21,24,55,Tofu & Veggie Stew,"mackerel, lentils, beans"
beagle,40,10,low,1,wheat,none,none,790,35,31,34,Turkey & Rice Bowl,"carrot, turkey, dairy"
poodle,25,13,medium,1,none,vomiting,diabetes,1576,32,28,40,Lamb & Oats,"lentils, mackerel, beef"
siberian husky,21,5,high,0,chicken,soft stool,diabetes,2210,27,22,51,Beef & Barley,"potato, spinach, rice"
doberman,37,7,high,0,fish,vomiting,allergies,1633,25,22,53,Duck & Lentils,"turkey, oats, potato"
beagle,14,13,high,0,fish,dry skin,allergies,1214,25,20,55,Tofu & Veggie Stew,"chicken, quinoa, lentils"
shih tzu,55,5,low,0,none,waxy ears,arthritis,1447,28,37,35,Tofu & Veggie Stew,"oats, zucchini, beans"
pomeranian,51,13,low,1,soy,waxy ears,obesity,1147,23,31,46,Duck & Lentils,"potato, chicken, egg"
shih tzu,46,13,medium,0,chicken,soft stool,heart disease,1527,30,28,42,Egg & Pumpkin Mix,"salmon, peas, potato"
yorkshire terrier,55,1,high,0,wheat,waxy ears,heart disease,2190,24,28,48,Lamb & Oats,"quinoa, spinach, peas"
dachshund,16,11,high,0,none,dry skin,none,1183,36,37,27,Tofu & Veggie Stew,"lentils, salmon, egg"
golden retriever,20,7,low,1,wheat,dry skin,obesity,2459,39,37,24,Turkey & Rice Bowl,"barley, carrot, rice"
pomeranian,45,8,low,1,beef,dry skin,none,1369,26,26,48,Tofu & Veggie Stew,"potato, beef, turkey"
dachshund,36,13,medium,1,soy,diarrhea,arthritis,1570,34,23,43,Beef & Barley,"barley, oats, quinoa"
doberman,19,7,medium,0,dairy,dry skin,none,593,34,32,34,Tofu & Veggie Stew,"zucchini, egg, tofu"
rottweiler,31,11,low,1,wheat,dry skin,obesity,1439,33,36,31,Turkey & Rice Bowl,"quinoa, dairy, peas"
beagle,32,14,high,0,none,diarrhea,obesity,1059,32,21,47,Salmon & Brown Rice,"chicken, dairy, egg"
rottweiler,21,13,medium,0,soy,vomiting,heart disease,2275,30,33,37,Beef & Barley,"turkey, oats, egg"
shih tzu,50,4,low,0,chicken,itchy paws,arthritis,2382,32,22,46,Chicken & Sweet Potato,"zucchini, dairy, lentils"
labrador retriever,54,8,low,1,none,waxy ears,allergies,712,28,24,48,Chicken & Sweet Potato,"rice, egg, carrot"
beagle,6,5,high,1,beef,dry skin,none,935,29,33,38,Beef & Barley,"carrot, quinoa, oats"
poodle,40,10,low,0,fish,waxy ears,heart disease,1351,23,22,55,Lamb & Oats,"barley, dairy, pumpkin"
golden retriever,54,9,low,0,chicken,soft stool,none,1007,36,26,38,Salmon & Brown Rice,"beans, zucchini, quinoa"
rottweiler,11,12,medium,1,wheat,waxy ears,none,1335,33,37,30,Beef & Barley,"turkey, lamb, lentils"
shih tzu,17,12,low,1,wheat,none,allergies,1150,37,32,31,Turkey & Rice Bowl,"carrot, rice, zucchini"
beagle,19,10,low,1,chicken,vomiting,arthritis,704,30,29,41,Mackerel & Quinoa,"turkey, rice, beans"
labrador retriever,29,5,medium,0,wheat,diarrhea,obesity,880,35,32,33,Paneer & Veg Mix,"potato, barley, beans"
dachshund,27,1,high,0,none,waxy ears,diabetes,1596,20,35,45,Tofu & Veggie Stew,"potato, quinoa, lamb"
pomeranian,26,12,high,0,soy,waxy ears,none,2039,26,28,46,Egg & Pumpkin Mix,"lamb, beef, mackerel"
